x						y1						y2						y3						y4						y5						y6						y7						y8						y9						y10						y11						y12						y13						y14						y15						y16						y17						y18	
-1.000000000000000000e+02 5.500000000000000548e-03 5.041613488587505000e-03 5.958386511412494362e-03 7.670000000000000602e-03 7.129278256790914231e-03 8.210721743209085238e-03 8.238000000000000878e-02 8.067591827039288788e-02 8.408408172960710192e-02 1.365400000000000225e-01 1.344118651090942529e-01 1.386681348909057365e-01 2.110000000000000330e-03 1.825599304627274159e-03 2.394400695372725634e-03 3.030000000000000141e-03 2.689348386508792679e-03 3.370651613491207604e-03
-9.900000000000000000e+01 6.230000000000000294e-03 5.742319876395780669e-03 6.717680123604219920e-03 7.930000000000001284e-03 7.380261892404110617e-03 8.479738107595889349e-03 8.319000000000000006e-02 8.147831705275213054e-02 8.490168294724786957e-02 1.395900000000000196e-01 1.374420311975764752e-01 1.417379688024235085e-01 2.360000000000000119e-03 2.059260121902824463e-03 2.660739878097175774e-03 3.160000000000000048e-03 2.812140105758172918e-03 3.507859894241827179e-03
-9.800000000000000000e+01 6.920000000000000803e-03 6.406200998390109216e-03 7.433799001609890655e-03 8.340000000000000191e-03 7.776346102724017613e-03 8.903653897275981902e-03 8.431000000000000993e-02 8.258788610308628875e-02 8.603211389691370337e-02 1.425800000000000123e-01 1.404129237077795522e-01 1.447470762922204723e-01 2.600000000000000314e-03 2.284376416087504150e-03 2.915623583912495612e-03 3.270000000000000337e-03 2.916156899054877898e-03 3.623843100945121909e-03
-9.700000000000000000e+01 7.780000000000000457e-03 7.235444839626710770e-03 8.324555160373288409e-03 8.620000000000000925e-03 8.047043302320436298e-03 9.192956697679562084e-03 8.563000000000001166e-02 8.389570869251494756e-02 8.736429130748504801e-02 1.456100000000000172e-01 1.434238912110693820e-01 1.477961087889305969e-01 2.960000000000000391e-03 2.623294479052522450e-03 3.296705520947477465e-03 3.340000000000000087e-03 2.982402199627874444e-03 3.697597800372125730e-03
-9.600000000000000000e+01 8.690000000000001543e-03 8.114741926059420088e-03 9.265258073940579528e-03 9.040000000000001160e-03 8.453375268353663027e-03 9.626624731646335822e-03 8.729000000000000647e-02 8.554056930527163816e-02 8.903943069472837479e-02 1.486400000000000221e-01 1.464351829425574458e-01 1.508448170574425429e-01 3.300000000000000416e-03 2.944542820838666215e-03 3.655457179161333749e-03 3.530000000000000152e-03 3.162406724723758420e-03 3.897593275276241883e-03
-9.500000000000000000e+01 9.510000000000001091e-03 8.908461543499404667e-03 1.011153845650059405e-02 9.490000000000000172e-03 8.889088342242808596e-03 1.009091165775719175e-02 8.937000000000000499e-02 8.760186693059297813e-02 9.113813306940703185e-02 1.516699999999999993e-01 1.494467907171042331e-01 1.538932092828957654e-01 3.660000000000000493e-03 3.285723623000836192e-03 4.034276376999163492e-03 3.780000000000000374e-03 3.399660335463020738e-03 4.160339664536979142e-03
-9.400000000000000000e+01 1.030000000000000013e-02 9.674224597104822548e-03 1.092577540289517771e-02 9.820000000000000603e-03 9.208831573740630314e-03 1.043116842625937089e-02 9.201000000000000845e-02 9.021854402798913652e-02 9.380145597201085261e-02 1.544800000000000062e-01 1.522400095650090768e-01 1.567199904349909356e-01 3.990000000000000491e-03 3.599279328855021273e-03 4.380720671144977540e-03 3.930000000000000333e-03 3.542216526680311284e-03 4.317783473319689383e-03
-9.300000000000000000e+01 1.109000000000000090e-02 1.044092893609472467e-02 1.173907106390527366e-02 1.014000000000000144e-02 9.519053825340084013e-03 1.076094617465991540e-02 9.524000000000000521e-02 9.342061554245428834e-02 9.705938445754572208e-02 1.572000000000000064e-01 1.549440128305561437e-01 1.594559871694438691e-01 4.240000000000000713e-03 3.837275215691308798e-03 4.642724784308690893e-03 4.140000000000000450e-03 3.742032684130083917e-03 4.537967315869914815e-03
-9.200000000000000000e+01 1.163000000000000145e-02 1.096549580683709758e-02 1.229450419316290184e-02 1.045000000000000095e-02 9.819732217471122127e-03 1.108026778252887631e-02 9.931000000000000938e-02 9.745633072077324044e-02 1.011636692792267506e-01 1.600000000000000033e-01 1.577277938792853995e-01 1.622722061207146071e-01 4.490000000000000067e-03 4.075624495041688979e-03 4.904375504958311156e-03 4.390000000000000673e-03 3.980244325917151743e-03 4.799755674082847867e-03
-9.100000000000000000e+01 1.222000000000000169e-02 1.153905222014076429e-02 1.290094777985923563e-02 1.076000000000000047e-02 1.012055225367579879e-02 1.139944774632420214e-02 1.043700000000000044e-01 1.024750391192832955e-01 1.062649608807167134e-01 1.626900000000000013e-01 1.604024443945645251e-01 1.649775556054354775e-01 4.750000000000000749e-03 4.323851475613781081e-03 5.176148524386218683e-03 4.570000000000000277e-03 4.151966050095834589e-03 4.988033949904165966e-03
-9.000000000000000000e+01 1.281000000000000021e-02 1.211301564520926924e-02 1.350698435479073117e-02 1.110000000000000049e-02 1.045063964728044047e-02 1.174936035271956052e-02 1.101600000000000079e-01 1.082194894118675005e-01 1.121005105881324876e-01 1.655300000000000105e-01 1.632264809269672323e-01 1.678335190730327886e-01 4.970000000000000459e-03 4.534142651218707118e-03 5.405857348781292065e-03 4.770000000000000802e-03 4.342959554066484068e-03 5.197040445933515801e-03
-8.900000000000000000e+01 1.367000000000000159e-02 1.295031331195672236e-02 1.438968668804327736e-02 1.158000000000000175e-02 1.091690900062635035e-02 1.224309099937364968e-02 1.175400000000000056e-01 1.155438717148391248e-01 1.195361282851608864e-01 1.685500000000000054e-01 1.662297726688072852e-01 1.708702273311927256e-01 5.310000000000000484e-03 4.859557637640156413e-03 5.760442362359842819e-03 5.100000000000000366e-03 4.658507942975032359e-03 5.541492057024968373e-03
-8.800000000000000000e+01 1.456000000000000176e-02 1.381758989941774332e-02 1.530241010058225673e-02 1.194000000000000096e-02 1.126680340077836073e-02 1.261319659922163772e-02 1.270700000000000163e-01 1.250057641533350583e-01 1.291342358466649187e-01 1.714400000000000091e-01 1.691040359668562754e-01 1.737759640331437427e-01 5.680000000000000153e-03 5.214215163187057960e-03 6.145784836812942346e-03 5.270000000000000379e-03 4.821248403530675221e-03 5.718751596469325536e-03
-8.700000000000000000e+01 1.536000000000000212e-02 1.459777632126206537e-02 1.612222367873793541e-02 1.240000000000000130e-02 1.171411789155615661e-02 1.308588210844384252e-02 1.372000000000000164e-01 1.350675433322294505e-01 1.393324566677705267e-01 1.739200000000000190e-01 1.715707247235200017e-01 1.762692752764799808e-01 6.070000000000000742e-03 5.588584203878697518e-03 6.551415796121302232e-03 5.600000000000000810e-03 5.137488365040725029e-03 6.062511634959274857e-03
-8.600000000000000000e+01 1.671000000000000263e-02 1.591553068648371427e-02 1.750446931351628405e-02 1.281000000000000021e-02 1.211301564520926924e-02 1.350698435479073117e-02 1.488500000000000101e-01 1.466438981325456636e-01 1.510561018674543565e-01 1.767600000000000282e-01 1.743956959864988998e-01 1.791243040135011011e-01 6.680000000000000174e-03 6.175128434053211990e-03 7.184871565946788358e-03 5.800000000000000468e-03 5.329349020129588686e-03 6.270650979870410514e-03
-8.500000000000000000e+01 1.795000000000000068e-02 1.712709989551717410e-02 1.877290010448282725e-02 1.314000000000000064e-02 1.243421317552306782e-02 1.384578682447693346e-02 1.622200000000000031e-01 1.599351100694095529e-01 1.645048899305904533e-01 1.793800000000000117e-01 1.770020312146337593e-01 1.817579687853662640e-01 7.240000000000000775e-03 6.714540184124933794e-03 7.765459815875066021e-03 6.110000000000000847e-03 5.627010314089409861e-03 6.592989685910590099e-03
-8.400000000000000000e+01 1.915000000000000036e-02 1.830055790642374711e-02 1.999944209357625360e-02 1.347000000000000107e-02 1.275552499995443942e-02 1.418447500004555925e-02 1.762300000000000255e-01 1.738684834283414082e-01 1.785915165716585873e-01 1.818600000000000216e-01 1.794692701854795902e-01 1.842507298145203976e-01 7.710000000000000707e-03 7.167881051380156285e-03 8.252118948619843394e-03 6.330000000000000557e-03 5.838446225671561907e-03 6.821553774328437472e-03
-8.300000000000000000e+01 2.041000000000000106e-02 1.953362139843443229e-02 2.128637860156556982e-02 1.389000000000000130e-02 1.316462614947806753e-02 1.461537385052193161e-02 1.914900000000000213e-01 1.890512693388964327e-01 1.939287306611035544e-01 1.843400000000000039e-01 1.819366752159288780e-01 1.867433247840711297e-01 8.170000000000000179e-03 7.612072536843772670e-03 8.727927463156228555e-03 6.710000000000000686e-03 6.204003651586607188e-03 7.215996348413392450e-03
-8.200000000000000000e+01 2.186000000000000096e-02 2.095369645347212526e-02 2.276630354652787666e-02 1.432000000000000113e-02 1.358364443678975776e-02 1.505635556321024103e-02 2.066200000000000259e-01 2.041105711085609287e-01 2.091294288914390676e-01 1.869000000000000106e-01 1.844838453852615801e-01 1.893161546147384411e-01 8.890000000000000333e-03 8.308218508731089399e-03 9.471781491268911266e-03 7.060000000000000303e-03 6.541066216774958988e-03 7.578933783225041618e-03
-8.100000000000000000e+01 2.326000000000000290e-02 2.232579447163332217e-02 2.419420552836667668e-02 1.470000000000000126e-02 1.395408215045060123e-02 1.544591784954939782e-02 2.219900000000000206e-01 2.194142281879409018e-01 2.245657718120590840e-01 1.891300000000000203e-01 1.867028091916440313e-01 1.915571908083559538e-01 9.600000000000000894e-03 8.995649308482660950e-03 1.020435069151733737e-02 7.400000000000000328e-03 6.868808537454570116e-03 7.931191462545429671e-03
-8.000000000000000000e+01 2.446000000000000257e-02 2.350258801861470834e-02 2.541741198138528987e-02 1.517000000000000119e-02 1.441243218378069658e-02 1.592756781621930059e-02 2.338400000000000201e-01 2.312165835985487694e-01 2.364634164014512152e-01 1.913900000000000046e-01 1.889517554272922006e-01 1.938282445727078085e-01 1.019000000000000114e-02 9.567540497055255708e-03 1.081245950294474310e-02 7.770000000000000864e-03 7.225792180986367365e-03 8.314207819013631762e-03
-7.900000000000000000e+01 2.532000000000000223e-02 2.434633183850693980e-02 2.629366816149305772e-02 1.555000000000000132e-02 1.478315053422915581e-02 1.631684946577084336e-02 2.435900000000000287e-01 2.409295417403844730e-01 2.462504582596155289e-01 1.939800000000000135e-01 1.915292473685692720e-01 1.964307526314307550e-01 1.071000000000000077e-02 1.007202356710518512e-02 1.134797643289481642e-02 8.010000000000001494e-03 7.457518174310879752e-03 8.562481825689119766e-03
-7.800000000000000000e+01 2.603000000000000105e-02 2.504313450355782900e-02 2.701686549644217311e-02 1.606000000000000136e-02 1.528087853468113044e-02 1.683912146531887227e-02 2.511200000000000099e-01 2.484322129416678404e-01 2.538077870583321793e-01 1.961300000000000265e-01 1.936689920544931165e-01 1.985910079455068811e-01 1.108000000000000131e-02 1.043121835982261172e-02 1.172878164017738742e-02 8.470000000000000098e-03 7.902007337211388108e-03 9.037992662788612089e-03
-7.700000000000000000e+01 2.651000000000000231e-02 2.551432247930141353e-02 2.750567752069858415e-02 1.641000000000000097e-02 1.562257457432124005e-02 1.719742542567876190e-02 2.559100000000000263e-01 2.532053912208279689e-01 2.586146087791720838e-01 1.982600000000000195e-01 1.957889449664130532e-01 2.007310550335869304e-01 1.149000000000000021e-02 1.082946073491334628e-02 1.215053926508665415e-02 8.790000000000000938e-03 8.211470690669579048e-03 9.368529309330419358e-03
-7.600000000000000000e+01 2.673000000000000376e-02 2.573031255272397594e-02 2.772968744727602464e-02 1.692000000000000101e-02 1.612063946914036455e-02 1.771936053085963747e-02 2.581500000000000461e-01 2.554376720067883522e-01 2.608623279932116290e-01 2.003700000000000203e-01 1.978891015956441291e-01 2.028508984043558561e-01 1.178000000000000054e-02 1.111127500559973801e-02 1.244872499440026307e-02 9.250000000000001277e-03 8.656663592292912837e-03 9.843336407707086247e-03
-7.500000000000000000e+01 2.684000000000000274e-02 2.583831430513354455e-02 2.784168569486645400e-02 1.734000000000000125e-02 1.653095202234324684e-02 1.814904797765675565e-02 2.592300000000000160e-01 2.565139834383411976e-01 2.619460165616588343e-01 2.025300000000000156e-01 2.000391363806761358e-01 2.050208636193238398e-01 1.212000000000000056e-02 1.144180981931155854e-02 1.279819018068844259e-02 9.630000000000001406e-03 9.024714914599940574e-03 1.023528508540005877e-02
-7.400000000000000000e+01 2.688000000000000111e-02 2.587758877222906539e-02 2.788241122777093683e-02 1.767000000000000168e-02 1.685342689917139480e-02 1.848657310082860855e-02 2.596200000000000174e-01 2.569026567380877646e-01 2.623373432619122703e-01 2.045500000000000096e-01 2.020499178691684550e-01 2.070500821308315642e-01 1.244000000000000140e-02 1.175302643320371571e-02 1.312697356679628363e-02 1.005000000000000164e-02 9.431787542964080451e-03 1.066821245703591936e-02
-7.300000000000000000e+01 2.688000000000000111e-02 2.587758877222906539e-02 2.788241122777093683e-02 1.807000000000000273e-02 1.724440428215341659e-02 1.889559571784658193e-02 2.596600000000000019e-01 2.569425208244599523e-01 2.623774791755400515e-01 2.065800000000000136e-01 2.040707507708530155e-01 2.090892492291470117e-01 1.281000000000000021e-02 1.211301564520926924e-02 1.350698435479073117e-02 1.044000000000000136e-02 9.810030670096333422e-03 1.106996932990366583e-02
